Patch ID,Execution,Task Name,Topology,Test,OperationsTotal,DocumentsTotal,SizeTotal,DurationTotal,OverheadTotal,ErrorsTotal,AverageLatency,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,LatencyMin,LatencyMax,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,ErrorRate
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_1_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,609414000000,88219697036,0,2348054.723223,169,1640.9206221058264,1640.9206221058264,277315.58513588464,1003586,209511825,2358776,2780393.6,2982222.2666666666,3183401.65,4094070.7400000086,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_1_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,399236000000,119381356808,0,3068307.264349,169,2504.7841377030127,2504.7841377030127,423308.51927180914,1077342,359491984,2938414,3339754.6,3721551.9000000004,4109282.65,5450185.740000043,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_4_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,2139140000000,48682988243,0,2090625.299027,169,467.47758444982566,467.47758444982566,79003.71177202054,985631,131603973,1997540,2370886.6,2724933.6333333333,2960267.4000000004,3679241.2766666687,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_4_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,201068000000,163703365415,0,3042236.603476,169,4973.441820677582,4973.441820677582,840511.6676945112,1042444,643026337,2902168,3417541,3774679.0666666673,4123451.2,5243281.3700000215,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_4_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,609215000000,94132078376,0,2342879.995898,169,1641.4566286122304,1641.4566286122304,277406.1702354669,1021689,196192158,2364547,2728653,2897197,3055316.85,3614838.970000001,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_4_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,366776000000,115327198240,0,2810890.510237,169,2726.459746548302,2726.459746548302,460771.697166663,1036640,327699626,2754717.5,3145634.0000000005,3423263.6333333333,3727131.4000000004,4828793.166666673,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_8_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,2128342000000,51395510754,0,2077125.001284,169,469.8493005353463,469.8493005353463,79404.53179047351,969336,141014241,1991707.5,2344221,2697890,2927116.65,3537906.3066666676,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_8_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,205497000000,178715930578,0,3102305.202512,169,4866.251088823681,4866.251088823681,822396.4340112021,1082307,610409868,2934396,3477543.6,3879664,4317752.2,5883943.970000001,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_8_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,610111000000,87991880817,0,2351640.829045,169,1639.0460096605373,1639.0460096605373,276998.7756326308,986829,211743241,2347108.5,2787126,3020140.0666666673,3280959,4247647.283333346,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_1_8_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,375484000000,128711600799,0,2871041.95748,169,2663.2293253507473,2663.2293253507473,450085.7559842763,1059533,342011589,2808084.5,3145892,3392624.433333334,3707520.2,4991285.680000011,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_16_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,28992091000000,70391725379,0,28921882.138382,169,34.492165466781955,34.492165466781955,5829.17596388615,9665565,183341694,29220454.5,30366720.4,30841730.233333334,31214752,32024599.106666673,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_16_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,15030225000000,72665564760,0,239549192.195204,169,66.53260347067325,66.53260347067325,11244.00998654378,10290857,17530789891,136371390.5,269870712.4,396514627.6,579734289.9500002,1704683210.3133519,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_16_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,11854095000000,70503419961,0,47299481.629118,169,84.3590337347558,84.3590337347558,14256.67670117373,14537902,2270699957,39236721.5,51084633.600000024,75746787.53333336,88068129.40000013,136776161.19666666,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_16_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,11747737000000,75120747721,0,93650619.993258,169,85.12277726339975,85.12277726339975,14385.749357514558,11782421,10606900210,64469432.5,117632683.4,159389055.0333334,207177646.30000004,371965264.9633337,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_1_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,29251057000000,64880157358,0,29186360.635202,169,34.18679878816003,34.18679878816003,5777.568995199045,11579286,144410932,29407181,30572015.6,31112909.266666666,31674938.3,33872525.63000001,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_1_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,23285898000000,80056278987,0,368102250.803657,169,42.944446462833426,42.944446462833426,7257.611452218849,15946473,50078361322,58245530,143486765.6,385592457.03333336,1236690349.3,7372488057.856699,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_1_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,24747089000000,74621780175,0,98688184.565498,169,40.408793131184034,40.408793131184034,6829.086039170102,14114222,22675291986,33491437,71437224.80000003,119750413.1666667,195295198.00000003,1206247661.5366683,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_1_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,23039773000000,78309782862,0,183260582.5443,169,43.40320540484492,43.40320540484492,7335.1417134187905,16092112,39738563376,38084245.5,99575239,177344243.10000017,399686692.6500002,4231970575.6266756,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_4_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,29091763000000,73976538223,0,29017957.41695,169,34.37399101594496,34.37399101594496,5809.204481694698,9502224,137741391,29038631.5,30519484,31051768.200000003,31506435.55,32096984.860000003,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_4_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,18906299000000,73207874658,0,300401414.791536,169,52.89242490029382,52.89242490029382,8938.819808149654,10438276,35394291614,90348981,198920941.4000001,365817050.4666669,823841828.2,5449168177.610002,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_4_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,16855006000000,66146297139,0,67167217.167455,169,59.329554673549204,59.329554673549204,10026.694739829816,14515078,13499669935,38390866,76040891.60000001,110391988.40000008,151277739.55000004,376393694.833338,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_4_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,16458938000000,70459198143,0,131178700.975469,169,60.757261495243505,60.757261495243505,10267.977192696151,17823280,19557579034,56646040.5,116754034.4,180923268.40000007,294555291.2500002,1319295585.5400057,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_8_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,29763467000000,66341328401,0,29697298.847886,169,33.598236388254094,33.598236388254094,5678.101949614942,9860219,137416256,29940489,30888926,31282994.633333333,31763623,32667622.200000025,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_8_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,16848141000000,78436669759,0,268050625.955877,169,59.353729292745115,59.353729292745115,10030.780250473925,10384984,28683789210,116742306.5,239778304.60000032,389395322.16666704,689721257.1500002,3593978438.100003,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_8_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,13526237000000,74284759543,0,53995496.591576,169,73.9303917268343,73.9303917268343,12494.236201834998,15151108,6359936015,38911477.5,68635969.40000002,87603375.53333333,116643670.2,197089585.20000023,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_blimit_5_8_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,1000000,1000000,169000000,13953298000000,80172151343,0,110965981.554953,169,71.66764445222914,71.66764445222914,12111.831912426725,13300047,15704137851,62134595,122671407.00000003,179693970.63333338,256101387.05000007,761079595.0533435,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_16_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,190176000000,3307635728,0,1870016.40823,173.77233,525.8287060407202,525.8287060407202,91374.47942958103,835850,122944061,1892092.5,2181141.4,2559115.0666666664,2801968.399999991,3322947.6133333333,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_16_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,21239000000,12589475130,0,3327644.81268,173.77233,4708.319600734498,4708.319600734498,818175.6674043033,979349,629085817,3073749,3613786.9999999995,3998831.1333333333,4456794.699999995,6072376.443333305,16,16,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_16_4,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,56184000000,6538426998,0,2179840.68725,173.77233,1779.8661540652145,1779.8661540652145,309291.4886800513,887041,228934244,2212996.5,2723875,2915433,3103068.5999999996,3670435.05999999,4,4,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_16_8,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,42430000000,9412213984,0,3311905.6989,173.77233,2356.8230025925054,2356.8230025925054,409550.6245580957,1068772,347470399,3035042,3711779,4292544.333333333,5018160.299999995,7850601.576666594,8,8,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_1_1,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,215873000000,3051471457,0,2129737.91994,173.77233,463.2353281790683,463.2353281790683,80497.48231599135,903723,142625397,2017594,2427768.599999998,2844701.0666666664,3095238.4499999983,3719691.473333332,1,1,0
63e149bf3e8e862138abedc7,0,insert_only_hf_0_1_16,linux-1-node-replSet-fle.2022-11,InsertActor.load.inserts,100000,100000,17377233,19094000000,13302396100,0,2980515.43293,173.77233,5237.247302817639,5237.247302817639,910088.6665968366,1011367,567867389,2798861.5,3254780.6,3573419.0666666664,3904985.849999999,4757275.809999999,16,16,0
