,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
10,query_es2_1_8.load.inserts,query_es2_1_8,es2,load.inserts,load,load,1,8,15511821.86548,15.51182186548,156.5451,491.04819388079414,491.04819388079414,76871.1886158883,0.0,5556906.0,15036956.200000003,22859629.266666666,33631284.499999985,93445688.25333332,8,8,11092803494.0,2386898.0,203645999000.0,0.0,100000.0,100000.0,15654510.0,48575371422.0
11,query_es2_1_8.q1.reads,query_es2_1_8,es2,q1.reads,fixed_10: fixed_hf,1,1,8,585343.6218,0.5853436218000001,367.0,12195.121951219513,12195.121951219513,4475609.756097562,0.0,560800.5,613390.6000000001,666485.6333333333,714793.1499999999,872575.6433333335,8,8,9926013.0,484948.0,820000000.0,0.0,10000.0,10000.0,3670000.0,1674613699802.0
12,query_es2_1_8.q2.reads,query_es2_1_8,es2,q2.reads,fixed_10: uar,2,1,8,604588.7501,0.6045887500999999,368.9912,10775.862068965516,10775.862068965516,3976198.275862069,0.0,548213.5,574351.6,598842.2,669189.5499999997,928639.330000001,8,8,10521057.0,487196.0,928000000.0,0.0,10000.0,10000.0,3689912.0,1682603752649.0
13,query_es2_1_8.q3.reads,query_es2_1_8,es2,q3.reads,"uar_[6,10]: uar",3,1,8,694049.8454,0.6940498454,368.9861,10256.410256410256,10256.410256410256,3784472.8205128205,0.0,644103.0,818974.4,922533.0666666667,1009086.05,1181377.1933333338,8,8,9986936.0,467922.0,975000000.0,0.0,10000.0,10000.0,3689861.0,1695289491845.0
14,query_es2_1_8.q4.reads,query_es2_1_8,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,8,703706.2709,0.7037062709,369.0381,9328.358208955224,9328.358208955224,3442519.5895522386,0.0,640743.5,813079.6000000001,922281.7999999999,1011689.1499999998,1216358.48,8,8,13582187.0,439968.0,1072000000.0000001,0.0,10000.0,10000.0,3690381.0,1708382552152.0
15,query_es2_1_16.load.inserts,query_es2_1_16,es2,load.inserts,load,load,1,16,27798082.19992,27.798082199920003,156.5451,528.2285327924272,528.2285327924272,82691.5884888438,0.0,8474607.0,21418352.800000004,33848332.699999996,56786073.249999985,293092746.9799999,16,16,17163479738.0,2568550.0,189312000000.0,0.0,100000.0,100000.0,15654510.0,197841677436.0
16,query_es2_1_16.q1.reads,query_es2_1_16,es2,q1.reads,fixed_10: fixed_hf,1,1,16,808555.543,0.808555543,370.0,16835.04517684373,16835.04517684373,6228966.71543218,0.0,667074.5,945965.0,1117240.4333333333,1342430.95,2041116.6900000006,16,16,17850808.0,502648.0,593999000.0,0.0,10000.0,10000.0,3700000.0,3230349712688.0
17,query_es2_1_16.q2.reads,query_es2_1_16,es2,q2.reads,fixed_10: uar,2,1,16,835076.3421,0.8350763420999999,369.0069,15360.983102918586,15360.983102918586,5668308.755760369,0.0,710306.0,1068102.6,1205060.6333333333,1471436.15,1884757.7133333376,16,16,3521630.0,509614.0,651000000.0,0.0,10000.0,10000.0,3690069.0,3242732185764.0
18,query_es2_1_16.q3.reads,query_es2_1_16,es2,q3.reads,"uar_[6,10]: uar",3,1,16,881810.7925,0.8818107925,369.0355,15455.974429635904,15455.974429635904,5703803.251627901,0.0,795821.0,1054200.8,1229057.8333333333,1405651.15,1823964.2633333355,16,16,10635878.0,473480.0,646999000.0,0.0,10000.0,10000.0,3690355.0,3264640950170.0
19,query_es2_1_16.q4.reads,query_es2_1_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,16,879197.5577,0.8791975577,369.1285,15625.0,15625.0,5767632.8125,0.0,788042.5,1056178.0,1234461.9666666666,1420719.6499999997,1856210.8800000001,16,16,18608891.0,479297.0,640000000.0,0.0,10000.0,10000.0,3691285.0,3286348520108.0
