,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
122,query_es3_8_1.q2.reads,query_es3_8_1,es3,q2.reads,fixed_1: uar,2,8,1,3882524.304,3.882524304,367.4373,253.318471982977,253.318471982977,93078.65538555072,0.0,3277140.0,3336249.4000000004,3394859.033333333,3592135.1999999983,24918952.940000035,1,1,93350033.0,3057709.0,39476000000.0,0.0,10000.0,10000.0,3674373.0,588081320525.0
123,query_es3_8_1.q3.reads,query_es3_8_1,es3,q3.reads,"uar_[1,5]: uar",3,8,1,3221880.8167,3.2218808166999997,367.791,305.89458872472545,305.89458872472545,112505.2766816555,0.0,3261123.5,3308600.4000000004,3344786.966666667,3448540.2499999995,9646326.40666667,1,1,91654395.0,441724.0,32691000000.000004,0.0,10000.0,10000.0,3677910.0,628032870716.0
124,query_es3_8_1.q4.reads,query_es3_8_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,1,2751655.4754,2.7516554754,368.0942,357.3725966692874,357.3725966692874,131546.78007290402,0.0,3265074.0,3307200.2,3332557.0666666664,3364411.2,3791416.413333334,1,1,4591257.0,443152.0,27982000000.0,0.0,10000.0,10000.0,3680942.0,661366059493.0
125,query_es3_8_4.load.inserts,query_es3_8_4,es3,load.inserts,load,load,8,4,8430846.69495,8.43084669495,156.5451,470.25186689991165,470.25186689991165,73615.62552903335,0.0,6731025.0,10153172.800000004,12982330.966666665,17429701.25,28786994.14666666,4,4,1071013405.0,3554466.0,212652000000.0,0.0,100000.0,100000.0,15654510.0,14876099026.0
126,query_es3_8_4.q1.reads,query_es3_8_4,es3,q1.reads,fixed_1: fixed_hf,1,8,4,10685212.1874,10.685212187400001,358.0,372.81437572232784,372.81437572232784,133467.54650859337,0.0,10697281.5,10805210.4,10863993.066666666,10915657.35,11043991.810000002,4,4,16765292.0,9881762.0,26823000000.0,0.0,10000.0,10000.0,3580000.0,862210194560.0
127,query_es3_8_4.q2.reads,query_es3_8_4,es3,q2.reads,fixed_1: uar,2,8,4,4385807.3576,4.385807357599999,367.5041,878.3487815853124,878.3487815853124,322796.7784626068,0.0,3771598.0,3898090.2,3969637.966666667,4084736.7,26168290.380000018,4,4,100341476.0,3432775.0,11384999000.0,0.0,10000.0,10000.0,3675041.0,970408332696.0
128,query_es3_8_4.q3.reads,query_es3_8_4,es3,q3.reads,"uar_[1,5]: uar",3,8,4,3691429.1134,3.6914291134,367.7601,1036.9142510280226,1036.9142510280226,381335.6886494907,0.0,3664599.5,3775966.2,3862985.033333333,3994263.4,25950140.60333334,4,4,102019088.0,491462.0,9643999000.0,0.0,10000.0,10000.0,3677601.0,1018503657346.0
129,query_es3_8_4.q4.reads,query_es3_8_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,4,3181958.6114,3.1819586114000002,368.1365,1235.788585737591,1235.788585737591,454938.8846933867,0.0,3761095.5,3875944.8,3918122.0666666664,3955475.75,4261095.296666676,4,4,5299433.0,483987.0,8091998999.999999,0.0,10000.0,10000.0,3681365.0,1059780159088.0
130,query_es3_8_8.load.inserts,query_es3_8_8,es3,load.inserts,load,load,8,8,12530748.80361,12.53074880361,156.5451,618.7046798821987,618.7046798821987,96855.18598262678,0.0,8167356.0,14333340.400000002,19924391.866666667,27403248.54999999,60545411.84999997,8,8,5096350516.0,3779353.0,161628000000.0,0.0,100000.0,100000.0,15654510.0,46071338166.0
131,query_es3_8_8.q1.reads,query_es3_8_8,es3,q1.reads,fixed_1: fixed_hf,1,8,8,10057394.4804,10.0573944804,355.0,788.6435331230284,788.6435331230284,279968.4542586751,0.0,9891304.0,10085863.2,10264380.066666666,10687319.2,14314108.08666667,8,8,21947415.0,9478374.0,12680000000.0,0.0,10000.0,10000.0,3550000.0,1337100400996.0
132,query_es3_8_8.q2.reads,query_es3_8_8,es3,q2.reads,fixed_1: uar,2,8,8,3944277.258,3.9442772580000005,367.5768,1879.3459875963165,1879.3459875963165,690803.9842134938,0.0,3088271.5,3224553.0,4046276.8,5272692.799999999,26501029.816666696,8,8,102862885.0,2701618.0,5321000000.0,0.0,10000.0,10000.0,3675768.0,1439971865985.0
133,query_es3_8_8.q3.reads,query_es3_8_8,es3,q3.reads,"uar_[1,5]: uar",3,8,8,3390625.642,3.390625642,367.8556,2173.4405564007825,2173.4405564007825,799512.2799391437,0.0,3046339.5,3178018.6,4096482.4333333327,5340963.899999999,26061298.070000023,8,8,104686546.0,469899.0,4601000000.0,0.0,10000.0,10000.0,3678556.0,1487647269140.0
134,query_es3_8_8.q4.reads,query_es3_8_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,8,2791830.3983,2.7918303982999997,368.1285,2684.5644790777123,2684.5644790777123,988264.6948361597,0.0,3036895.5,3142264.4,3549047.5,4943120.049999997,5619867.233333334,8,8,9078145.0,468118.0,3724999000.0,0.0,10000.0,10000.0,3681285.0,1529581478967.0
135,query_es3_8_16.load.inserts,query_es3_8_16,es3,load.inserts,load,load,8,16,19410189.73811,19.410189738110002,156.5451,781.25,781.25,122300.859375,0.0,10668878.5,20201527.800000004,29886413.199999996,43052236.04999996,106797460.22333328,16,16,7131122059.0,4232671.0,128000000000.0,0.0,100000.0,100000.0,15654510.0,174590068985.0
136,query_es3_8_16.q1.reads,query_es3_8_16,es3,q1.reads,fixed_1: fixed_hf,1,8,16,20463341.0171,20.4633410171,355.0,773.694450575973,773.694450575973,274661.5299544704,0.0,19925423.0,25295439.6,29446079.43333333,32371110.9,41087306.7233334,16,16,63015159.0,9746516.0,12924999000.0,0.0,10000.0,10000.0,3550000.0,2226981253550.0
