,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
62,query_es2_8_1.q6.7,query_es2_8_1,es2,q6.7,fixed_int: int_txn,6,8,1,5249038.98282,5.249038982819998,0.0,315.4106493917473,0.0,0.0,0.0,5378358.0,6233955.6,6673144.7,6967070.299999999,7864698.643333333,1,1,20948217.0,4065501.0,634093999000.0,0.0,200000.0,0.0,0.0,657049911786.0
63,query_es2_8_4.load.inserts,query_es2_8_4,es2,load.inserts,load,load,8,4,7056554.2584,7.0565542584,174.4612,498.9024146876871,498.9024146876871,87039.11394931152,0.0,4592166.5,8403673.8,11987869.0,17790300.0,37158116.3866665,4,4,559798180.0,2312153.0,200440000000.0,0.0,100000.0,100000.0,17446120.0,25486567030.0
64,query_es2_8_4.q1.reads,query_es2_8_4,es2,q1.reads,fixed_10: fixed_hf,1,8,4,739326.3743,0.7393263743,385.0,5094.243504839531,5094.243504839531,1961283.7493632196,0.0,738588.0,767943.2,782161.0,795303.2,816574.0,4,4,1175773.0,628109.0,1963000000.0,0.0,10000.0,10000.0,3850000.0,820025171694.0
65,query_es2_8_4.q2.reads,query_es2_8_4,es2,q2.reads,fixed_10: uar,2,8,4,9880384.6208,9.880384620800001,360.1996,380.41618976742075,354.2815975303989,137025.75938774904,0.0,682365.5,902863.0,1092787.9333333333,132278732.6,137872147.78,4,4,143160353.0,442154.0,26286999000.0,0.0,10000.0,9313.0,3601996.0,828208109283.0
66,query_es2_8_4.q3.reads,query_es2_8_4,es2,q3.reads,"uar_[6,10]: uar",3,8,4,10364631.6435,10.3646316435,358.7535,359.28575285760616,333.345321501287,128895.02133780121,0.0,684232.5,921536.4,1130035.2666666666,132537885.8,138918507.40666667,4,4,144639223.0,436919.0,27832999000.0,0.0,10000.0,9278.0,3587535.0,932635731909.0
67,query_es2_8_4.q4.reads,query_es2_8_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,4,10310979.1076,10.3109791076,358.8128,340.2170700580774,315.68741930689004,122074.23951533494,0.0,690993.0,921687.4000000001,1121497.7333333332,131735474.6,138300700.92000002,4,4,144560403.0,445846.0,29392999000.0,0.0,10000.0,9279.0,3588128.0,1041234305420.0
68,query_es2_8_4.q5.reads,query_es2_8_4,es2,q5.reads,fixed_int: int,5,8,4,4407646.54859,4.407646548590001,385.0,817.4409261396428,817.4409261396428,314714.7565637625,0.0,4406262.0,4460531.0,4493684.433333334,4529684.65,4620601.276666667,4,4,6857968.0,4127703.0,122332999000.0,0.0,100000.0,100000.0,38500000.0,1209193576292.0
69,query_es2_8_4.q6.7,query_es2_8_4,es2,q6.7,fixed_int: int_txn,6,8,4,5430195.640225,5.4301956402250005,192.5,1234.5221781909313,617.2610890954656,237645.51930175425,0.0,5596750.0,6451385.0,6760263.133333333,6974542.299999999,7544183.473333334,4,4,15236157.0,4157709.0,162006000000.0,0.0,200000.0,100000.0,38500000.0,1207384827050.0
70,query_es2_8_8.load.inserts,query_es2_8_8,es2,load.inserts,load,load,8,8,9213904.03816,9.21390403816,174.4612,830.7717938919315,830.7717938919315,144937.44408853902,0.0,5557368.5,10662639.400000002,16860231.43333333,24596614.24999998,45572201.03999999,8,8,4101605414.0,2367719.0,120369999000.0,0.0,100000.0,100000.0,17446120.0,69083296905.0
71,query_es2_8_8.q1.reads,query_es2_8_8,es2,q1.reads,fixed_10: fixed_hf,1,8,8,587938.826,0.587938826,386.0,11918.951132300357,11918.951132300357,4600715.137067938,0.0,554803.0,620957.0,689017.3999999999,791510.7,934838.573333335,8,8,1530329.0,491087.0,839000000.0,0.0,10000.0,10000.0,3860000.0,1027736843916.0
72,query_es2_8_8.q2.reads,query_es2_8_8,es2,q2.reads,fixed_10: uar,2,8,8,6787946.7347,6.7879467347,360.8543,1000.5002501250626,934.1670835417709,361034.8174087044,0.0,621412.5,779343.6000000001,925222.4666666666,91680006.95,94520886.91666667,8,8,104041824.0,462731.0,9995000000.0,0.0,10000.0,9337.0,3608543.0,1034785079802.0
73,query_es2_8_8.q3.reads,query_es2_8_8,es2,q3.reads,"uar_[6,10]: uar",3,8,8,7449820.8138,7.449820813799999,358.516,962.741888899586,892.6542793876961,345158.371040724,0.0,611238.5,751940.8,928321.1000000001,92216782.0,95564748.14,8,8,185698000.0,451441.0,10387000000.0,0.0,10000.0,9272.0,3585160.0,1113439370241.0
74,query_es2_8_8.q4.reads,query_es2_8_8,es2,q4.reads,"uar_[6,10]: uar_alllow",4,8,8,7264964.4018,7.2649644017999995,358.9004,987.8495493282178,916.823166731519,354539.59839371714,0.0,610960.0,749375.8,912319.3999999999,91844322.69999999,95177402.61,8,8,104879000.0,453804.0,10122999000.0,0.0,10000.0,9281.0,3589004.0,1190879738651.0
75,query_es2_8_8.q5.reads,query_es2_8_8,es2,q5.reads,fixed_int: int,5,8,8,4566083.20029,4.56608320029,389.0,1572.871118940514,1572.871118940514,611846.8652678599,0.0,4561688.0,4628575.6,4668547.433333334,4706225.2,4792711.859999999,8,8,17209424.0,4157631.0,63578000000.0,0.0,100000.0,100000.0,38900000.0,1327717283957.0
